sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
35,5.73171950000005,"2026-04-29T15:59:04.6212398Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07137255,1.298814,0.3174228,0.2522434,-0.03349188,0.06125506,0.9651421,0,,,,,,
36,5.74271629999998,"2026-04-29T15:59:04.6317934Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07033352,1.298552,0.3189389,0.2521557,-0.03532388,0.0609216,0.9651209,0,,,,,,
37,5.75384499999996,"2026-04-29T15:59:04.6423857Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0693526,1.298205,0.3207728,0.2518886,-0.03729936,0.06079657,0.9651242,0,,,,,,
38,5.76451069999996,"2026-04-29T15:59:04.6541965Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06848039,1.298167,0.3218673,0.251117,-0.03851185,0.0607416,0.9652811,0,,,,,,
39,5.77622329999997,"2026-04-29T15:59:04.6651674Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06723171,1.297999,0.3236217,0.2502554,-0.04027988,0.06042811,0.9654524,0,,,,,,
40,5.78735700000004,"2026-04-29T15:59:04.6770390Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06643668,1.297867,0.3253606,0.2491247,-0.04168521,0.06027034,0.965695,0,,,,,,
41,5.79801259999999,"2026-04-29T15:59:04.6877120Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06552456,1.297792,0.326923,0.2480128,-0.0430754,0.0600993,0.9659308,0,,,,,,
42,5.80916779999995,"2026-04-29T15:59:04.6989962Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06457265,1.297787,0.3285816,0.2465874,-0.04443049,0.05958083,0.9662664,0,,,,,,
43,5.82150190000004,"2026-04-29T15:59:04.7107885Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06348113,1.297701,0.3309831,0.2447943,-0.04639781,0.05891253,0.9666708,0,,,,,,
44,5.83092829999998,"2026-04-29T15:59:04.7205869Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06283516,1.297924,0.3319523,0.2429883,-0.04726332,0.05809775,0.9671336,0,,,,,,
45,5.84304640000005,"2026-04-29T15:59:04.7319059Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06155543,1.298004,0.33405,0.2408953,-0.04945771,0.05764999,0.9675742,0,,,,,,
46,5.85311869999998,"2026-04-29T15:59:04.7417130Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06117627,1.298287,0.3352219,0.2389806,-0.05091847,0.0566257,0.9680336,0,,,,,,
47,5.86486920000004,"2026-04-29T15:59:04.7538974Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05999434,1.298533,0.3374169,0.2361759,-0.05324982,0.05596028,0.968635,0,,,,,,
48,5.87748539999996,"2026-04-29T15:59:04.7671803Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05947078,1.298789,0.3388252,0.2338839,-0.05430914,0.05493167,0.9691911,0,,,,,,
49,5.88701630000003,"2026-04-29T15:59:04.7764834Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05925284,1.298975,0.3400524,0.2318126,-0.05570845,0.05458944,0.9696285,0,,,,,,
50,5.89939879999997,"2026-04-29T15:59:04.7883011Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05850683,1.299239,0.3417416,0.2292382,-0.05747762,0.05362567,0.9701909,0,,,,,,
51,5.91125390000002,"2026-04-29T15:59:04.8012994Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05785774,1.299474,0.3430989,0.2268609,-0.0593583,0.05292438,0.9706749,0,,,,,,
52,5.92113289999998,"2026-04-29T15:59:04.8110934Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05737432,1.299724,0.3447061,0.2242311,-0.06156545,0.05222329,0.9711863,0,,,,,,
53,5.93227950000005,"2026-04-29T15:59:04.8213756Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05692055,1.299974,0.3452265,0.2230434,-0.06336375,0.05129919,0.9713934,0,,,,,,
54,5.94370490000006,"2026-04-29T15:59:04.8330973Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05614726,1.30038,0.3463319,0.2208723,-0.06636585,0.05068225,0.9717214,0,,,,,,
55,5.95387930000004,"2026-04-29T15:59:04.8426301Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05580485,1.300718,0.3470816,0.2187794,-0.06841463,0.0499422,0.972091,0,,,,,,
56,5.96456590000003,"2026-04-29T15:59:04.8543754Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05518133,1.301132,0.3478057,0.2169726,-0.07057394,0.04911301,0.9723837,0,,,,,,
57,5.9759014,"2026-04-29T15:59:04.8653892Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05431699,1.301646,0.3488572,0.2148283,-0.07372856,0.04791829,0.9726854,0,,,,,,
58,5.98776090000001,"2026-04-29T15:59:04.8762193Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05391499,1.302056,0.3497053,0.2125315,-0.07701746,0.04712977,0.9729735,0,,,,,,
59,5.99921949999998,"2026-04-29T15:59:04.8888127Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.05347301,1.302344,0.3500693,0.211736,-0.07947519,0.04661106,0.9729743,0,,,,,,
