sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
42,6.03564970000001,"2026-04-22T16:39:24.7069083Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02362688,1.55034,-0.7634827,0.126569,-0.08881581,0.0111553,0.9879107,0,,,,,,
43,6.0466218,"2026-04-22T16:39:24.7173983Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02336995,1.55031,-0.7631899,0.1271477,-0.08835997,0.0115936,0.9878722,0,,,,,,
44,6.0584193,"2026-04-22T16:39:24.7294942Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02332771,1.550323,-0.762948,0.1275441,-0.08910984,0.01205895,0.9877483,0,,,,,,
45,6.06930250000001,"2026-04-22T16:39:24.7405118Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02358706,1.550368,-0.7627483,0.1277968,-0.09049844,0.01274253,0.9875807,0,,,,,,
46,6.0803159,"2026-04-22T16:39:24.7510320Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02401368,1.550506,-0.7625239,0.1276663,-0.09219348,0.01316268,0.9874353,0,,,,,,
47,6.0911961,"2026-04-22T16:39:24.7619145Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02448599,1.550716,-0.7623762,0.1270545,-0.09398325,0.01396573,0.9873344,0,,,,,,
48,6.10354890000001,"2026-04-22T16:39:24.7745184Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02509633,1.551191,-0.7621739,0.1249546,-0.0945749,0.01476536,0.9875343,0,,,,,,
49,6.1137049,"2026-04-22T16:39:24.7845082Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02532025,1.551747,-0.7619769,0.1227217,-0.09508976,0.01706561,0.9877278,0,,,,,,
50,6.124877,"2026-04-22T16:39:24.7960517Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02558258,1.552555,-0.7617538,0.1196063,-0.09570986,0.01918888,0.9880111,0,,,,,,
51,6.1357122,"2026-04-22T16:39:24.8070035Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02594614,1.553402,-0.7616172,0.1162497,-0.09740975,0.02246423,0.9881765,0,,,,,,
52,6.1467925,"2026-04-22T16:39:24.8179911Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02633923,1.554116,-0.7615322,0.1132402,-0.09947629,0.02566642,0.9882421,0,,,,,,
53,6.15865220000001,"2026-04-22T16:39:24.8295589Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02706024,1.554978,-0.7614347,0.1084272,-0.1031927,0.02837708,0.9883267,0,,,,,,
54,6.1688772,"2026-04-22T16:39:24.8399635Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02793275,1.555881,-0.7612824,0.1026799,-0.1069969,0.03151511,0.9884409,0,,,,,,
55,6.18002990000001,"2026-04-22T16:39:24.8509183Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02866866,1.556817,-0.7610866,0.09763121,-0.11072,0.03554775,0.9884056,0,,,,,,
56,6.1913892,"2026-04-22T16:39:24.8624851Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02975924,1.557972,-0.7610106,0.09365831,-0.1142932,0.03811588,0.9882876,0,,,,,,
57,6.20238190000001,"2026-04-22T16:39:24.8735153Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03085342,1.558878,-0.7609362,0.09036259,-0.1173114,0.03822256,0.9882367,0,,,,,,
58,6.2132675,"2026-04-22T16:39:24.8844638Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03170893,1.559606,-0.7608227,0.08641863,-0.119968,0.03922204,0.9882313,0,,,,,,
59,6.2248067,"2026-04-22T16:39:24.8955444Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03268249,1.560351,-0.760812,0.08312751,-0.1223351,0.03874428,0.9882423,0,,,,,,
60,6.2353375,"2026-04-22T16:39:24.9064957Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03352371,1.561,-0.7606858,0.07998312,-0.1256757,0.03807367,0.9881087,0,,,,,,
